accx,accy,accz,label
-80,272,16512,0
64,320,16544,0
96,288,16528,0
80,304,16720,0
96,304,16528,0
96,-16,16752,0
112,0,16720,0
64,272,16560,0
48,272,16688,0
64,288,16736,0
-112,-16,16528,0
64,336,16752,0
80,304,16544,0
80,288,16512,0
-96,272,16544,0
48,288,16512,0
96,288,16512,0
112,0,16544,0
-128,336,16704,0
96,288,16752,0
112,288,16544,0
112,0,16544,0
64,272,16512,0
96,304,16960,0
112,272,16560,0
64,272,16752,0
96,288,16752,0
80,336,16576,0
112,288,16656,0
112,336,16544,0
96,288,16560,0
80,0,16544,0
112,304,16704,0
80,288,16720,0
112,272,16720,0
96,320,16512,0
64,368,16560,0
80,272,16960,0
80,304,16512,0
64,288,16752,0
112,320,16704,0
96,288,16512,0
80,256,16608,0
112,288,16512,0
96,304,16528,0
48,288,16752,0
32,288,16752,0
96,272,16528,0
96,320,16736,0
80,288,16512,0
96,288,16512,0
112,272,16736,0
-112,272,16752,0
-128,288,16528,0
96,304,16752,0
-128,272,16736,0
64,320,16688,0
-128,272,16528,0
-112,272,16752,0
32,288,16544,0
80,0,16512,0
64,272,16672,0
64,304,16688,0
112,272,16736,0
80,0,16512,0
-128,0,16752,0
112,288,16736,0
96,272,16736,0
112,0,16752,0
64,-48,16544,0
80,288,16608,0
-128,288,16736,0
32,0,16736,0
80,-16,16752,0
80,0,16544,0
-96,-16,16704,0
112,0,16752,0
80,304,16720,0
-128,272,16576,0
-112,0,16688,0
96,272,16736,0
112,336,16528,0
32,288,16544,0
112,0,16592,0
80,320,16576,0
80,304,16704,0
96,288,16560,0
-112,-32,16512,0
96,272,16512,0
64,352,16704,0
-128,288,16752,0
96,272,16752,0
112,-16,16752,0
-128,0,16528,0
96,288,16752,0
64,288,16576,0
-128,304,16512,0
-128,288,16704,0
112,304,16912,0
96,304,16720,0
96,272,16544,0
-128,288,16544,0
80,-16,16752,0
48,288,16896,0
96,304,16736,0
112,288,16560,0
96,272,16736,0
64,320,16512,0
32,288,16688,0
80,320,16544,0
112,288,16512,0
-112,304,16560,0
112,288,16560,0
-128,272,16752,0
64,304,16544,0
96,0,16560,0
80,-16,16528,0
32,304,16672,0
80,272,16736,0
96,336,16512,0
96,272,16528,0
112,0,16544,0
-128,304,16560,0
-112,288,16576,0
-112,304,16512,0
112,304,16736,0
32,272,16560,0
112,272,16720,0
112,272,16544,0
-128,272,16512,0
-128,368,16528,0
80,272,16736,0
64,288,16720,0
96,304,16560,0
-128,320,16544,0
96,288,16704,0
64,272,16720,0
96,0,16512,0
64,272,16720,0
112,272,16528,0
96,272,16736,0
112,288,16752,0
96,272,16544,0
48,304,16528,0
96,288,16512,0
80,304,16608,0
-128,272,16528,0
96,320,16544,0
80,272,16720,0
-112,272,16704,0
112,288,16736,0
80,304,16544,0
112,336,16752,0
64,-32,16720,0
-96,288,16544,0
80,352,16736,0
96,288,16512,0
112,320,16512,0
-112,320,16512,0
-128,272,16912,0
-128,0,16512,0
112,304,16704,0
96,0,16528,0
112,288,16672,0
80,272,16720,0
-128,288,16544,0
96,288,16544,0
112,320,16592,0
64,272,16512,0
112,288,16720,0
-128,288,16736,0
-64,288,16592,0
80,272,16592,0
80,288,16560,0
80,272,16544,0
80,272,16560,0
96,288,16560,0
80,-16,16736,0
48,272,16720,0
96,288,16736,0
64,272,16720,0
80,336,16544,0
64,320,16528,0
-112,288,16544,0
80,272,16704,0
-128,320,16736,0
48,288,16720,0
-128,272,16624,0
-112,288,16528,0
96,336,16688,0
-128,272,16720,0
-128,-32,16576,0
112,-32,16592,0
112,320,16512,0
96,320,16528,0
96,272,16560,0
-96,-32,16512,0
80,0,16576,0
64,0,16512,0
112,304,16528,0
-128,304,16752,0
-128,304,16640,0
-96,304,16736,0
64,0,16752,0
112,288,16544,0
-112,0,16560,0
48,320,16736,0
64,-16,16688,0
64,0,16560,0
80,288,16544,0
64,272,16720,0
96,288,16512,0
80,304,16736,0
112,288,16704,0
80,288,16576,0
96,304,16928,0
96,-16,16560,0
-128,272,16576,0
96,272,16512,0
112,0,16720,0
80,288,16944,0
64,272,16544,0
112,0,16576,0
112,272,16752,0
96,304,16672,0
-112,0,16544,0
-80,304,16528,0
96,336,16592,0
-80,272,16752,0
112,0,16656,0
-96,-16,16752,0
-112,288,16752,0
-112,0,16576,0
64,304,16736,0
112,288,16528,0
96,0,16720,0
-128,0,16752,0
80,272,16528,0
96,272,16736,0
96,320,16528,0
112,288,16736,0
80,288,16704,0
-112,320,16528,0
112,288,16640,0
-128,288,16752,0
112,288,16576,0
112,-32,16704,0
-128,272,16512,0
-128,288,16928,0
48,304,16512,0
64,272,16720,0
112,0,16704,0
112,304,16528,0
-128,-16,16752,0
112,288,16512,0
-80,304,16752,0
112,272,16528,0
96,288,16528,0
80,272,16512,0
96,272,16736,0
80,304,16528,0
96,272,16512,0
-112,0,16688,0
112,-16,16736,0
112,0,16512,0
96,288,16512,0
96,288,16512,0
112,272,16592,0
80,288,16720,0
48,272,16512,0
96,272,16752,0
-64,288,16672,0
-128,304,16528,0
64,320,16544,0
80,272,16512,0
112,0,16736,0
96,272,16752,0
-128,272,16512,0
80,336,16512,0
64,288,16752,0
112,0,16544,0
96,272,16512,0
112,272,16576,0
112,288,16736,0
96,320,16528,0
-128,0,16528,0
-112,288,16560,0
112,-16,16752,0
80,336,16720,0
96,272,16704,0
80,304,16704,0
112,272,16736,0
112,-48,16576,0
80,-16,16624,0
80,0,16752,0
96,336,16720,0
80,272,16528,0
96,0,16512,0
80,272,16512,0
80,272,16688,0
-128,320,16752,0
112,288,16720,0
80,320,16528,0
-128,304,16704,0
-128,320,16720,0
80,0,16512,0
-80,288,16736,0
-112,320,16704,0
112,336,16752,0
96,288,16560,0
112,0,16512,0
112,336,16736,0
112,320,16720,0
96,-16,16672,0
64,320,16720,0
64,320,16592,0
48,272,16544,0
48,272,16544,0
-112,288,16656,0
80,288,16528,0
96,0,16528,0
80,0,16560,0
-96,272,16528,0
96,304,16512,0
80,288,16752,0
-112,288,16752,0
96,288,16736,0
96,0,16736,0
96,272,16528,0
96,304,16544,0
80,352,16528,0
112,304,16512,0
80,240,16704,0
-128,272,16752,0
80,320,16752,0
64,288,16736,0
96,0,16672,0
64,288,16720,0
112,272,16512,0
96,304,16528,0
-112,288,16544,0
-64,272,16304,0
96,288,16512,0
96,320,16752,0
80,272,16560,0
96,0,16736,0
112,288,16640,0
80,304,16528,0
80,288,16528,0
112,288,16528,0
96,320,16736,0
16,-32,16656,0
80,368,16576,0
112,336,16592,0
96,304,16512,0
80,0,16544,0
64,304,16512,0
-128,288,16704,0
-128,0,16720,0
112,288,16528,0
96,288,16576,0
112,-16,16720,0
80,-32,16576,0
96,320,16720,0
80,320,16736,0
-128,-48,16688,0
112,288,16576,0
96,288,16720,0
-96,288,16544,0
-128,288,16752,0
-128,0,16528,0
-128,288,16736,0
96,272,16736,0
112,272,16704,0
112,-16,16784,0
-128,288,16528,0
96,336,16528,0
-96,320,16736,0
-112,272,16512,0
-112,288,16592,0
